City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Dunedin,NZ,2021-12-31 22:49:06,-45.8742,170.5036,62.13,74,60,6.89
145,Eydhafushi,MV,2021-12-31 22:51:06,5.1033,73.0708,81.55,76,27,12.84
146,Aklavik,CA,2021-12-31 22:56:53,68.2191,-135.0107,-31.97,75,75,4.61
147,Touros,BR,2021-12-31 22:48:53,-5.1989,-35.4608,81.5,77,88,13.02
148,East London,ZA,2021-12-31 22:56:54,-33.0153,27.9116,68.77,87,92,12.39
149,Saint George,US,2021-12-31 22:56:54,37.1041,-113.5841,50.47,68,100,1.99
150,Etah,IN,2021-12-31 22:56:55,27.6333,78.6667,48.56,38,89,4.45
151,Katsuura,JP,2021-12-31 22:48:55,35.1333,140.3,33.91,40,7,10.22
152,Puerto Suarez,BO,2021-12-31 22:56:55,-18.95,-57.8,86.36,66,8,0.0
153,Uryupinsk,RU,2021-12-31 22:56:56,50.8047,42.0138,12.13,97,100,5.73
154,Severo-Kurilsk,RU,2021-12-31 22:56:56,50.6789,156.125,26.85,77,84,6.2
155,Suez,EG,2021-12-31 22:56:56,29.9737,32.5263,56.21,84,96,13.22
156,Bolobo,CD,2021-12-31 22:56:57,-2.1667,16.2333,71.73,92,42,1.28
157,Yar-Sale,RU,2021-12-31 22:56:57,66.8333,70.8333,-4.61,98,100,9.71
158,Belawan,ID,2021-12-31 22:56:57,3.7755,98.6832,77.29,92,97,4.25
159,Taoudenni,ML,2021-12-31 22:47:41,22.6783,-3.9836,69.71,17,0,10.8
160,Saint-Philippe,RE,2021-12-31 22:56:58,-21.3585,55.7679,74.75,77,70,9.37
161,Pisco,PE,2021-12-31 22:56:58,-13.7,-76.2167,73.45,68,0,23.02
162,Czarnkow,PL,2021-12-31 22:56:59,52.9021,16.5641,52.56,94,100,15.08
163,Khash,IR,2021-12-31 22:56:59,28.2211,61.2158,52.14,83,95,9.4
164,Sao Filipe,CV,2021-12-31 22:57:00,14.8961,-24.4956,77.11,60,88,8.88
